Sequence,Customer_ID,Occu,Salary,total_asset,Loan_Type,Loan_Amount,Amount_Paid,Pay_now,Pay_now_total,Num_Missed_Pay,Total_Installments
1,NEKOR362411189,Business Owner/Personal Business,245154,5852799,Personal loan,126923,42307,3,126921,7,3
2,NEKOR349999395,Business Owner/Personal Business,167592,544500,Personal loan,76087,2113,30,63390,8,36
3,NEKOR534509789,Househusband/Housewife/Unemployed,5148,136114,Occupational Loans,3436,381,4,1524,8,9
4,NEKOR252435170,Politician/Family Member or Close Asscociates,19945,9896616,Occupational Loans,14859,825,9,7425,9,18
5,NEKOR195593569,Agent/Insurance Broker,12864,287587,Vehicle loan,11295,627,12,7524,5,18
6,NEKOR178735107,Politician/Family Member or Close Asscociates,6444,9695404,Occupational Loans,4060,225,8,1800,1,18
7,NEKOR365271894,Student,29496,44084,Occupational Loans,27575,3063,8,24504,0,9
8,NEKOR869255343,Tour Guide,21479,4644560,Vehicle loan,15969,443,5,2215,10,36
9,NEKOR672958713,Other,24684,3709370,Occupational Loans,7158,795,3,2385,1,9
10,NEKOR150012667,Charity Officer,3057,978840,Personal loan,3026,336,3,1008,10,9
11,NEKOR449789588,Other,20427,2374316,Occupational Loans,15826,879,11,9669,2,18
12,NEKOR016757550,Student,5645,153081,Vehicle loan,4014,1338,3,4014,3,3
13,NEKOR096564072,Politician/Family Member or Close Asscociates,9501,9207543,Personal loan,6270,348,6,2088,3,18
14,NEKOR187991475,Street Vendor,34290,3526293,Occupational Loans,34108,947,9,8523,0,36
15,NEKOR712210185,Tour Guide,22400,3313730,Vehicle loan,9824,3274,3,9822,5,3
16,NEKOR399301170,Househusband/Housewife/Unemployed,7440,192661,Vehicle loan,5944,660,7,4620,1,9
17,NEKOR653511793,Docter/Nurse/Pharmacist,38401,1332330,Occupational Loans,6711,745,4,2980,4,9
18,NEKOR200754335,Charity Officer,20531,284401,Personal loan,16014,444,32,14208,8,36
19,NEKOR363997790,Agent/Insurance Broker,22744,101994,Vehicle loan,4975,552,8,4416,4,9
20,NEKOR929118192,Charity Officer,3256,391957,Occupational Loans,3217,536,6,3216,3,6
21,NEKOR687930368,Docter/Nurse/Pharmacist,65101,1999253,Occupational Loans,45655,5072,6,30432,2,9
22,NEKOR102519529,Street Vendor,10715,4437252,Personal loan,9926,1654,6,9924,4,6
23,NEKOR868192221,Househusband/Housewife/Unemployed,5460,15510,Occupational Loans,4997,832,4,3328,0,6
24,NEKOR451207815,Lawyer/Accountant,118676,7695279,Personal loan,112714,37571,3,112713,3,3
25,NEKOR601449460,Lawyer/Accountant,16210,1784388,Vehicle loan,10517,584,10,5840,2,18
