Sequence,Customer_ID,Occu,Salary,total_asset,Loan_Type,Loan_Amount,Amount_Paid,Pay_now,Pay_now_total,Num_Missed_Pay,Total_Installments,features,scaled_features,prediction
11,NEKOR449789588,Other,20427,2374316,Occupational Loans,15826,879,11,9669,2,18,"[20427.0,2374316.0,879.0,9669.0,2.0,18.0]","[0.47229637298847754,0.9549769136166748,0.1937350510250806,0.4748450959337146,0.630709398718741,1.7109665506042964]",0
17,NEKOR653511793,Docter/Nurse/Pharmacist,38401,1332330,Occupational Loans,6711,745,4,2980,4,9,"[38401.0,1332330.0,745.0,2980.0,4.0,9.0]","[0.8878764879390281,0.5358782871862483,0.16420092493024466,0.14634795592951386,1.261418797437482,0.8554832753021482]",0
21,NEKOR687930368,Docter/Nurse/Pharmacist,65101,1999253,Occupational Loans,45655,5072,6,30432,2,9,"[65101.0,1999253.0,5072.0,30432.0,2.0,9.0]","[1.5052120320126734,0.8041223070049976,1.1178887130821489,1.4945171123647536,0.630709398718741,0.8554832753021482]",0
25,NEKOR601449460,Lawyer/Accountant,16210,1784388,Vehicle loan,10517,584,10,5840,2,18,"[16210.0,1784388.0,584.0,5840.0,2.0,18.0]","[0.3747943509151232,0.717701158958888,0.12871589283122534,0.2868027055799869,0.630709398718741,1.7109665506042964]",0
27,NEKOR332740527,Teacher/Instructor,9838,2729249,Vehicle loan,6508,542,4,2168,9,12,"[9838.0,2729249.0,542.0,2168.0,9.0,12.0]","[0.2274661828687836,1.0977350051599686,0.11945892793582899,0.10647059344133761,2.8381922942343345,1.1406443670695308]",0
29,NEKOR098918502,Teacher/Instructor,23265,3097224,Personal loan,3283,364,7,2548,2,9,"[23265.0,3097224.0,364.0,2548.0,2.0,9.0]","[0.5379142858754066,1.245738737514085,0.08022702909343497,0.12513241332496688,0.630709398718741,0.8554832753021482]",0
31,NEKOR637202385,Tour Guide,18485,1571676,Occupational Loans,12897,537,3,1611,0,24,"[18485.0,1571676.0,537.0,1611.0,0.0,24.0]","[0.4273950386592259,0.6321459720127401,0.11835690830542467,0.0791162942961231,0.0,2.2812887341390615]",0
37,NEKOR309038126,Judge/Attorney,83889,1252282,Vehicle loan,77193,3216,12,38592,6,24,"[83889.0,1252282.0,3216.0,38592.0,6.0,24.0]","[1.939612788643971,0.5036820706838167,0.7088190262760627,1.8952551393395298,1.8921281961562229,2.2812887341390615]",0
38,NEKOR211274689,Judge/Attorney,71887,2461181,Vehicle loan,71375,2973,10,29730,5,24,"[71887.0,2461181.0,2973.0,29730.0,5.0,24.0]","[1.6621123691693682,0.9899150050928357,0.6552608722384126,1.4600418556323649,1.5767734967968525,2.2812887341390615]",0
40,NEKOR225656906,Judge/Attorney,51049,1943533,Occupational Loans,12103,4034,3,12102,4,3,"[51049.0,1943533.0,4034.0,12102.0,4.0,3.0]","[1.1803131906148132,0.7817110889418919,0.8891094378102106,0.5943298532412674,1.261418797437482,0.2851610917673827]",0
41,NEKOR972688695,Police/Military,7767,1287967,Occupational Loans,3719,206,11,2266,3,18,"[7767.0,1287967.0,206.0,2266.0,3.0,18.0]","[0.17958221613558062,0.5180349837595871,0.04540320877265825,0.11128337856922095,0.9460640980781114,1.7109665506042964]",0
44,NEKOR091091415,Lawyer/Accountant,52855,2957941,Vehicle loan,10022,1670,5,8350,0,6,"[52855.0,2957941.0,1670.0,8350.0,0.0,6.0]","[1.2220700442701318,1.189717529949771,0.36807455655504506,0.41006893691659085,0.0,0.5703221835347654]",0
45,NEKOR684105718,Teacher/Instructor,30207,2856292,Occupational Loans,19259,802,21,16842,10,24,"[30207.0,2856292.0,802.0,16842.0,10.0,24.0]","[0.6984215273345543,1.148833145439781,0.17676394871685397,0.8271115012633801,3.153546993593705,2.2812887341390615]",0
53,NEKOR030926160,Teacher/Instructor,17430,3094609,Vehicle loan,17061,473,15,7095,9,36,"[17430.0,3094609.0,473.0,7095.0,9.0,36.0]","[0.4030021922548178,1.244686954756816,0.10425105703624929,0.34843582124828887,2.8381922942343345,3.4219331012085927]",0
60,NEKOR536619619,Police/Military,20471,1228672,Vehicle loan,14323,2387,6,14322,1,6,"[20471.0,1228672.0,2387.0,14322.0,1.0,6.0]","[0.47331370497122066,0.4941858600149378,0.5261041715550254,0.7033541694035227,0.3153546993593705,0.5703221835347654]",0
76,NEKOR598813358,Street Vendor,15580,1960432,Vehicle loan,4083,680,5,3400,8,6,"[15580.0,1960432.0,680.0,3400.0,8.0,6.0]","[0.36022800661675625,0.7885080590432635,0.1498746697349884,0.16697417790615676,2.522837594874964,0.5703221835347654]",0
78,NEKOR969993744,Tour Guide,21252,2768698,Occupational Loans,11010,1223,6,7338,9,9,"[21252.0,2768698.0,1223.0,7338.0,9.0,9.0]","[0.4913713476649104,1.1136018418679992,0.26955400159689824,0.3603695639633466,2.8381922942343345,0.8554832753021482]",0
79,NEKOR182186938,Retired,3539,2254803,Occupational Loans,3211,535,5,2675,4,6,"[3539.0,2254803.0,535.0,2675.0,4.0,6.0]","[0.08182586106654047,0.9069074250241413,0.11791610045326294,0.1313693899702851,1.261418797437482,0.5703221835347654]",0
82,NEKOR887575384,Police/Military,30681,1870550,Personal loan,10013,278,22,6116,4,36,"[30681.0,1870550.0,278.0,6116.0,4.0,36.0]","[0.7093809673304685,0.7523564958352936,0.061272291450480555,0.3003570800217808,1.261418797437482,3.4219331012085927]",0
87,NEKOR223205615,Judge/Attorney,22049,2875269,Occupational Loans,20698,862,10,8620,9,24,"[22049.0,2875269.0,862.0,8620.0,9.0,24.0]","[0.5097989292614159,1.1564659107876556,0.18998818428170589,0.42332865104443274,2.8381922942343345,2.2812887341390615]",0
92,NEKOR559266531,Tour Guide,70844,2467774,Vehicle loan,45412,2522,15,37830,0,18,"[70844.0,2467774.0,2522.0,37830.0,0.0,18.0]","[1.637996976942072,0.9925667847175675,0.5558587015759423,1.8578332794676207,0.0,1.7109665506042964]",0
93,NEKOR603025374,Business Owner/Personal Business,9444,2319245,Vehicle loan,3786,631,5,3155,10,6,"[9444.0,2319245.0,631.0,3155.0,10.0,6.0]","[0.21835643738694777,0.9328267307388338,0.139074877357026,0.1549422150864484,3.153546993593705,0.5703221835347654]",0
